chaser,step,scene,duration_ms,beats
all_scenes,1590,par_2_cold_white,,
all_scenes,1600,par_3_cold_white,,
all_scenes,1610,par_4_cold_white,,
all_scenes,1620,par_12_cold_white,,
all_scenes,1630,par_34_cold_white,,
all_scenes,1640,par_14_cold_white,,
all_scenes,1650,par_23_cold_white,,
all_scenes,1660,par_13_cold_white,,
all_scenes,1670,par_24_cold_white,,
all_scenes,1680,par_all_uv,,
all_scenes,1690,par_1_uv,,
all_scenes,1700,par_2_uv,,
all_scenes,1710,par_3_uv,,
all_scenes,1720,par_4_uv,,
all_scenes,1730,par_12_uv,,
all_scenes,1740,par_34_uv,,
all_scenes,1750,par_14_uv,,
all_scenes,1760,par_23_uv,,
all_scenes,1770,par_13_uv,,
all_scenes,1780,par_24_uv,,
all_scenes,1790,par_all_uv_disco_white,,
all_scenes,1800,disco_off,,
all_scenes,1810,disco_red,,
all_scenes,1820,disco_green,,
all_scenes,1830,disco_blue,,
all_scenes,1840,disco_white,,
all_scenes,1850,disco_yellow,,
all_scenes,1860,disco_magenta,,
all_scenes,1870,disco_cyan,,
all_scenes,1880,disco_dark_orange,,
all_scenes,1890,disco_green_yellow,,
all_scenes,1900,disco_salmon,,
all_scenes,1910,disco_turquoise,,
all_scenes,1920,disco_light_green,,
all_scenes,1930,disco_orange,,
all_scenes,1940,disco_straw,,
all_scenes,1950,disco_lavender,,
all_scenes,1960,disco_dark_blue,,
all_scenes,1970,disco_pink,,
all_scenes,1980,par_strobe,,
all_scenes,1990,italia_par,,

# Disco & Funk - Gold Room - Saturday Groove - low
disco_funk-gold_room-saturday_groove,1,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,2,par_12_magenta,,1
disco_funk-gold_room-saturday_groove,3,par_34_magenta,,1
disco_funk-gold_room-saturday_groove,4,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,5,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,6,par_12_magenta,,1
disco_funk-gold_room-saturday_groove,7,par_34_magenta,,1
disco_funk-gold_room-saturday_groove,8,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,9,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,10,par_12_magenta,,1
disco_funk-gold_room-saturday_groove,11,par_34_magenta,,1
disco_funk-gold_room-saturday_groove,12,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,13,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,14,par_12_magenta,,1
disco_funk-gold_room-saturday_groove,15,par_34_magenta,,1
disco_funk-gold_room-saturday_groove,16,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,17,par_12_amber,,1
disco_funk-gold_room-saturday_groove,18,par_34_amber,,1
disco_funk-gold_room-saturday_groove,19,par_12_amber,,1
disco_funk-gold_room-saturday_groove,20,par_34_amber,,1
disco_funk-gold_room-saturday_groove,21,par_12_amber,,1
disco_funk-gold_room-saturday_groove,22,par_34_amber,,1
disco_funk-gold_room-saturday_groove,23,par_12_amber,,1
disco_funk-gold_room-saturday_groove,24,par_34_amber,,1
disco_funk-gold_room-saturday_groove,25,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,26,par_all_amber,,1
disco_funk-gold_room-saturday_groove,27,par_all_turquoise,,1
disco_funk-gold_room-saturday_groove,28,par_all_off,,1
disco_funk-gold_room-saturday_groove,29,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,30,par_all_amber,,1
disco_funk-gold_room-saturday_groove,31,par_all_turquoise,,1
disco_funk-gold_room-saturday_groove,32,par_all_off,,1
disco_funk-gold_room-saturday_groove,33,disco_magenta,,1
disco_funk-gold_room-saturday_groove,34,disco_magenta,,1
disco_funk-gold_room-saturday_groove,35,disco_orange,,1
disco_funk-gold_room-saturday_groove,36,disco_off,,1
disco_funk-gold_room-saturday_groove,37,disco_magenta,,1
disco_funk-gold_room-saturday_groove,38,disco_magenta,,1
disco_funk-gold_room-saturday_groove,39,disco_orange,,1
disco_funk-gold_room-saturday_groove,40,disco_off,,1
disco_funk-gold_room-saturday_groove,41,par_all_amber,,1
disco_funk-gold_room-saturday_groove,42,par_12_amber,,1
disco_funk-gold_room-saturday_groove,43,par_34_amber,,1
disco_funk-gold_room-saturday_groove,44,par_all_amber,,1
disco_funk-gold_room-saturday_groove,45,par_all_amber,,1
disco_funk-gold_room-saturday_groove,46,par_12_amber,,1
disco_funk-gold_room-saturday_groove,47,par_34_amber,,1
disco_funk-gold_room-saturday_groove,48,par_all_amber,,1
disco_funk-gold_room-saturday_groove,49,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,50,par_13_magenta,,1
disco_funk-gold_room-saturday_groove,51,par_24_magenta,,1
disco_funk-gold_room-saturday_groove,52,par_all_turquoise,,1
disco_funk-gold_room-saturday_groove,53,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,54,par_13_magenta,,1
disco_funk-gold_room-saturday_groove,55,par_24_magenta,,1
disco_funk-gold_room-saturday_groove,56,par_all_turquoise,,1
disco_funk-gold_room-saturday_groove,57,par_all_magenta,,1
